GUID,GEOGDESC,Population,PC_Yes,PC_No,PC_NS,Int_Broadband,Int_Other,Int_No,Int_NS,Households,Prop_PC,Prop_Broadband
EB9428B8-B443-407E-977B-9393FD73E1D0,Cork City,125657,30466,16572,2332,34240,2709,10278,2143,49370,61.70954021,69.35385862
84B85B58-010E-45DB-BC55-E137BBE627E4,Clare,118817,29214,12886,1248,27941,4701,9524,1182,43348,67.39411276,64.45741441
8A998E65-D3BE-4620-98DE-EBF44DE0285B,Cork County,417211,103617,38632,3803,103761,12597,26278,3416,146052,70.94527976,71.04387478
F1CE5AB6-2A36-4E32-B04A-E79CCD016BCE,Cavan,76176,17286,8761,759,17061,2698,6318,729,26806,64.48556293,63.64619861
D3A82C01-E07A-4554-8FE4-355EBB161F5A,Carlow,56932,13242,6529,694,13539,1852,4432,642,20465,64.70559492,66.15685316
EC7DF314-E9AD-4B31-B76C-E3CE8796A87C,Dublin City,554554,139140,59425,13026,157005,9025,33796,11765,211591,65.7589406,74.20211635
BCD3C654-AD8A-411B-BCD7-D2C210A9AB28,Donegal,159192,35541,20874,1890,36127,5873,14561,1744,58305,60.95703627,61.96209588
8CD118DF-9362-4D15-8028-16CB016E942C,Dún Laoghaire-Rathdown,218018,63526,12984,2058,67575,2187,7041,1765,78568,80.85480094,86.00829854
DA8A143E-499D-4407-AE87-36E6C9F68EF9,Fingal,296020,75038,17746,3823,82095,3448,7655,3409,96607,77.67346052,84.9783142
FA241879-9706-4005-BFD7-FBF80C56C6EE,Galway City,78668,20112,7280,1435,22367,1553,3621,1286,28827,69.7679259,77.59045339
9B0F930F-0337-4FCA-B95F-2500BC016DF8,Galway County,179390,42451,18574,1704,39396,7564,14157,1612,62729,67.67364377,62.80348802
F681A4DB-9F68-4E3A-98F1-754DA7A3F4BD,Kildare,222504,54149,17174,2025,57086,4854,9700,1708,73348,73.8247805,77.82897966
5F2BE378-1CF3-4332-A1D0-21EBAD4D24EF,Kilkenny,99232,23428,10512,803,22739,3800,7512,692,34743,67.43228852,65.44915523
6F00ECFF-F079-40A7-97B7-B8391AFCF856,Kerry,147707,35230,17517,1541,33363,5742,13684,1499,54288,64.89463602,61.45557029
89D0FD4F-B387-461B-A8F0-0FCF37A9340E,Longford,40873,9427,5203,462,8887,1798,3952,455,15092,62.46355685,58.88550225
0F2662EE-A38D-4001-AEAA-209C2058B3F8,Louth,128884,29671,13997,1695,32095,2972,8803,1493,45363,65.40793157,70.75149351
BA1DDA73-2749-4473-A847-2BAAD5038176,Limerick City and County,194899,46013,22587,2422,46590,6263,15897,2272,71022,64.78696742,65.59939174
76CF8F82-CD46-41F7-A5AD-400A08468D2B,Leitrim,32044,7972,4104,328,7192,1482,3402,328,12404,64.26959045,57.98129636
76A974D4-60F2-4167-AB8E-6ADEFC878A57,Laois,84697,18934,9133,930,18960,3209,5977,851,28997,65.29640997,65.38607442
7D3D6EF0-2287-488A-BD33-A9883D8F3AC4,Meath,195044,46164,15969,1728,46851,5495,10022,1493,63861,72.28825105,73.36402499
78AE611D-F9DA-4EC9-8ECE-846BFFFCA22D,Monaghan,61386,13813,7202,597,13619,2096,5346,551,21612,63.91356654,63.01591708
0CE50849-C9F9-4C13-A0CF-6F98CD58B40F,Mayo,130507,31480,16044,1221,29774,5442,12407,1122,48745,64.58098266,61.08113653
085B854E-1C5E-440B-929F-6E375069859E,Offaly,77961,17059,9314,811,16412,3319,6708,745,27184,62.75382578,60.37374926
2D3544E6-A828-4BF7-A4B5-F3C3F3A1B11B,Roscommon,64544,15414,7987,561,14329,2766,6354,513,23962,64.32685085,59.79884818
6C7D5F02-1D93-42BF-9B2E-91CE53906E32,South Dublin,278767,67411,21655,3327,76950,2882,9817,2744,92393,72.96115507,83.28553029
15F5BE96-328E-4F88-A697-4ABA7341FD94,Sligo,65535,16344,7703,714,16267,2256,5566,672,24761,66.00702718,65.69605428
F67663AB-74A6-4B8B-A2EA-C0B76AEB132B,Tipperary,159553,37333,20152,1586,35813,6881,14912,1465,59071,63.20021669,60.62704203
8256B4AB-2EBB-46EA-BCFD-E9B5DA4BFD23,Waterford City and County,116176,29066,12880,1509,29801,3616,8595,1443,43455,66.88758486,68.57898976
C26AC177-3D04-4F56-BC31-DC712289C410,Westmeath,88770,20863,9855,967,20514,3458,6832,881,31685,65.84503708,64.74356951
9E71A548-10AA-4EC4-951D-05CA74EA7337,Wicklow,142425,35890,11846,1269,36917,3402,7569,1117,49005,73.23742475,75.33312927
32E5833E-7F3A-41B8-9E25-6B1C0F021EEC,Wexford,149722,35309,17390,1307,34801,5736,12266,1203,54006,65.37977262,64.43913639
